"ComputerName","Enabled","LastLogonDate","Error"
"BRRAOWN3124718","N/A","N/A","Cannot find an object with identity: 'BRRAOWN3124718' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJUNWN3087738","N/A","N/A","Cannot find an object with identity: 'BRJUNWN3087738' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3129113","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3129113' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BREXAWN3131790","N/A","N/A","Cannot find an object with identity: 'BREXAWN3131790' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3090915","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3090915' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3131828","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3131828' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRITTWN3084394","N/A","N/A","Cannot find an object with identity: 'BRITTWN3084394' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWN3002123","N/A","N/A","Cannot find an object with identity: 'BRRIOWN3002123' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRETOWN3145342","N/A","N/A","Cannot find an object with identity: 'BRETOWN3145342' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJUNWN3087744","N/A","N/A","Cannot find an object with identity: 'BRJUNWN3087744' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRTRFWD3085873","N/A","N/A","Cannot find an object with identity: 'BRTRFWD3085873' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRIOAWD3117642","N/A","N/A","Cannot find an object with identity: 'BRIOAWD3117642' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWN3088076","N/A","N/A","Cannot find an object with identity: 'BRRIOWN3088076' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWD3112782","N/A","N/A","Cannot find an object with identity: 'BRGRUWD3112782' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3085948","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3085948' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWN3090563","N/A","N/A","Cannot find an object with identity: 'BRRIOWN3090563' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BREXAWN3090347","N/A","N/A","Cannot find an object with identity: 'BREXAWN3090347' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBTIWN3131799","N/A","N/A","Cannot find an object with identity: 'BRBTIWN3131799' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRQOCWD3102325","N/A","N/A","Cannot find an object with identity: 'BRQOCWD3102325' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLRAWN3133655","N/A","N/A","Cannot find an object with identity: 'BRLRAWN3133655' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002091","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002091' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3075957","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3075957' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJGUWD3115871","True","21/02/2025 12:48:46",
"BRLOZWD3084096","N/A","N/A","Cannot find an object with identity: 'BRLOZWD3084096' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3085906","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3085906' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002090","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002090' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3090570","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3090570' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3082561","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3082561' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJUNWN3083528","N/A","N/A","Cannot find an object with identity: 'BRJUNWN3083528' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3118283","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3118283' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3128293","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3128293' under: 'DC=phx-dc,DC=dhl,DC=com'."
